sourceIp,locId,country,region,city,postalCode,latitude,longitude,dmaCode,areaCode,numberOfPorts,numberOfIps,numberOfPackets,averagePacketSize,averageDataSize,maxPacketsPerDestination,maxPacketsPerPort,maxInterpacketInterval
204.135.59.72,0cf081a3,CN,"02","Hangzhou","",30.2553,120.1689,,,0.000114285714286,0.00333333333333,0.00873,0.00634342857143,0.0012812705,0.001164,0.000646,0.000369919776917
114.149.159.15,426bd34a,US,"IL","Chicago","60612",41.8784,-87.6852,602,312,0.3018,0.00333333333333,0.10533,9.02857142857e-05,0.00042132,0.014044,1.33333333333e-06,0.000234340190887
107.223.249.124,426bd34a,US,"IL","Chicago","60612",41.8784,-87.6852,602,312,0.000342857142857,0.0933333333333,0.236155,0.00192171428571,0.0175217105,0.0298006666667,0.0298006666667,0.000326539993286
157.198.0.42,ab594689,US,"IL","Chicago","",41.8675,-87.6744,602,312,5.71428571429e-05,0.00666666666667,0.121655,0.000110285714286,0.00057506,0.0160546666667,0.0160546666667,0.000648920059204
55.208.189.242,426bd34a,US,"IL","Chicago","60612",41.8784,-87.6852,602,312,0.000114285714286,0.303333333333,0.00068,0.000152571428571,4.3675e-06,1.33333333333e-05,8.8e-05,0.000171500205994
7.117.197.125,61126358,US,"VA","Sterling","20166",38.9881,-77.4755,511,703,5.71428571429e-05,0.00333333333333,1e-05,0.000276571428571,3.245e-07,1.33333333333e-06,6.66666666667e-07,0.000126599788666
220.229.227.178,87026196,US,"WA","Bellevue","98008",47.6051,-122.1134,819,425,2.85714285714e-05,0.00333333333333,5e-06,6.85714285714e-05,6e-08,6.66666666667e-07,6.66666666667e-07,5.98001480103e-05
154.54.150.220,87026196,US,"WA","Bellevue","98008",47.6051,-122.1134,819,425,2.85714285714e-05,0.00333333333333,5e-06,0.000162857142857,1.425e-07,6.66666666667e-07,6.66666666667e-07,7.33199119568e-05
194.0.232.76,426bd34a,US,"IL","Chicago","60612",41.8784,-87.6852,602,312,0.000942857142857,0.156666666667,0.00313,0.00144914285714,0.0003232675,0.000306,0.000154666666667,0.000195259571075
12.79.163.174,426bd34a,US,"IL","Chicago","60612",41.8784,-87.6852,602,312,0.000171428571429,0.02,0.000915,0.000241714285714,7.991e-06,5.06666666667e-05,5.06666666667e-05,0.000326799869537
24.17.240.199,426bd34a,US,"IL","Chicago","60612",41.8784,-87.6852,602,312,0.000114285714286,0.00666666666667,0.00026,0.000545142857143,7.4805e-06,3.4e-05,3e-05,8.02402496338e-05
226.73.91.27,426bd34a,US,"IL","Chicago","60612",41.8784,-87.6852,602,312,8.57142857143e-05,0.03,0.001935,0.00187085714286,7.20025e-05,0.000139333333333,0.000256666666667,0.000181360244751
33.184.212.59,7cc2f81e,US,"","","",38.0000,-97.0000,,,2.85714285714e-05,0.00333333333333,5e-06,0.000172,1.505e-07,6.66666666667e-07,6.66666666667e-07,2.09002494812e-05
242.191.79.252,cc97a79d,US,"AZ","Tempe","85281",33.4357,-111.9171,753,480,2.85714285714e-05,0.00333333333333,5e-06,6.57142857143e-05,5.75e-08,6.66666666667e-07,6.66666666667e-07,1.32036209106e-06
114.193.0.167,cc97a79d,US,"AZ","Tempe","85281",33.4357,-111.9171,753,480,2.85714285714e-05,0.00333333333333,5e-06,0.000227428571429,1.99e-07,6.66666666667e-07,6.66666666667e-07,1.3599395752e-06
244.39.20.64,426bd34a,US,"IL","Chicago","60612",41.8784,-87.6852,602,312,2.85714285714e-05,0.02,0.00075,0.000122857142857,4.305e-06,2e-05,0.0001,0.0001968998909
235.57.67.5,94805b2c,US,"CA","Mountain View","94043",37.4192,-122.0574,807,650,0.000828571428571,0.00666666666667,0.00169,0.00024,1.51105e-05,0.000149333333333,4e-05,0.000291659832001
79.62.6.55,cbcd21cd,IL,"05","Tel Aviv-Yafo","",32.0678,34.7647,,,2.85714285714e-05,0.00333333333333,5e-05,7.88571428571e-05,2.4e-07,6.66666666667e-06,6.66666666667e-06,0.000111959934235
17.180.198.164,ab594689,US,"IL","Chicago","",41.8675,-87.6744,602,312,2.85714285714e-05,0.00333333333333,5e-06,4.28571428571e-05,3.75e-08,6.66666666667e-07,6.66666666667e-07,0.000147660255432
92.51.252.180,426bd34a,US,"IL","Chicago","60612",41.8784,-87.6852,602,312,5.71428571429e-05,0.00666666666667,0.000335,0.000136571428571,2.206e-06,2.33333333333e-05,2.33333333333e-05,0.000168759822845
250.144.242.2,426bd34a,US,"IL","Chicago","60612",41.8784,-87.6852,602,312,2.85714285714e-05,0.00666666666667,0.000185,0.000136,1.11e-06,1.26666666667e-05,2.46666666667e-05,0.000176459789276
164.219.213.72,426bd34a,US,"IL","Chicago","60612",41.8784,-87.6852,602,312,8.57142857143e-05,0.02,0.000235,0.000285142857143,2.1675e-06,1.13333333333e-05,1.46666666667e-05,0.000212340354919
191.93.234.144,94805b2c,US,"CA","Mountain View","94043",37.4192,-122.0574,807,650,2.85714285714e-05,0.00333333333333,2.5e-05,7.88571428571e-05,1.66e-07,3.33333333333e-06,3.33333333333e-06,0.000103079795837
9.113.254.178,94805b2c,US,"CA","Mountain View","94043",37.4192,-122.0574,807,650,0.000114285714286,0.00333333333333,2e-05,0.000134857142857,2.185e-07,2.66666666667e-06,6.66666666667e-07,8.71801376343e-05
182.35.207.65,94805b2c,US,"CA","Mountain View","94043",37.4192,-122.0574,807,650,2.85714285714e-05,0.00333333333333,4.5e-05,0.000232571428571,8.535e-07,6e-06,6e-06,8.0340385437e-05
159.225.244.137,f4b52c7d,CN,"30","Guangzhou","",23.1167,113.2500,,,2.85714285714e-05,0.00333333333333,9e-05,0.000150857142857,7.68e-07,1.2e-05,1.2e-05,0.00021203994751
177.47.40.105,ab594689,US,"IL","Chicago","",41.8675,-87.6744,602,312,2.85714285714e-05,0.00333333333333,5e-06,6.8e-05,5.95e-08,6.66666666667e-07,6.66666666667e-07,2.25973129272e-06
106.253.29.37,426bd34a,US,"IL","Chicago","60612",41.8784,-87.6852,602,312,5.71428571429e-05,0.01,0.003035,0.000206857142857,2.1389e-05,0.00036,0.00036,0.000107640266418
227.62.209.11,426bd34a,US,"IL","Chicago","60612",41.8784,-87.6852,602,312,0.000685714285714,0.00333333333333,0.004905,0.00300228571429,0.000562096,0.000654,0.000158,0.000120279788971
56.38.65.191,426bd34a,US,"IL","Chicago","60612",41.8784,-87.6852,602,312,2.85714285714e-05,0.01,0.0006,0.000847428571429,2.04345e-05,6.53333333333e-05,8e-05,0.000117340087891
185.213.18.9,ab594689,US,"IL","Chicago","",41.8675,-87.6744,602,312,2.85714285714e-05,0.00333333333333,0.000235,0.000182285714286,1.66e-06,3.13333333333e-05,3.13333333333e-05,0.000238800048828
220.155.24.53,426bd34a,US,"IL","Chicago","60612",41.8784,-87.6852,602,312,5.71428571429e-05,0.00333333333333,1e-05,4.45714285714e-05,5.2e-08,1.33333333333e-06,6.66666666667e-07,1.0199546814e-06
37.153.118.115,62a186d2,US,"IL","Springfield","62702",39.8340,-89.6539,648,217,2.85714285714e-05,0.00333333333333,1.5e-05,0.000292,7.085e-07,2e-06,2e-06,8.26025009155e-06
159.216.162.208,426bd34a,US,"IL","Chicago","60612",41.8784,-87.6852,602,312,0.000114285714286,0.01,0.0001,0.000247428571429,1.417e-06,1.13333333333e-05,1.13333333333e-05,0.000100359916687
115.111.144.149,e5b46480,MY,"","","",2.5000,112.5000,,,2.85714285714e-05,0.00333333333333,5e-06,4.4e-05,3.85e-08,6.66666666667e-07,6.66666666667e-07,2.62203216553e-05
114.19.127.38,a0dbd8df,MY,"01","Johor Bahru","",1.4667,103.7500,,,2.85714285714e-05,0.00333333333333,0.00021,0.000242857142857,1.675e-06,2.8e-05,2.8e-05,0.000192279815674
142.8.71.44,426bd34a,US,"IL","Chicago","60612",41.8784,-87.6852,602,312,0.000428571428571,0.02,0.01098,0.00400857142857,0.001385874,0.00140466666667,0.000657333333333,9.84201431274e-05
97.162.218.143,94805b2c,US,"CA","Mountain View","94043",37.4192,-122.0574,807,650,2.85714285714e-05,0.00333333333333,4.5e-05,0.000132571428571,3.575e-07,6e-06,6e-06,1.47399902344e-05
41.217.220.189,7cc2f81e,US,"","","",38.0000,-97.0000,,,2.85714285714e-05,0.00333333333333,7e-05,8.68571428571e-05,3.4e-07,9.33333333333e-06,9.33333333333e-06,0.000132100105286
240.50.103.193,8cb0bacd,US,"IL","Urbana","61801",40.1095,-88.2123,648,217,2.85714285714e-05,0.00333333333333,5e-06,5.14285714286e-05,4.5e-08,6.66666666667e-07,6.66666666667e-07,2.5580406189e-05
223.188.233.138,7cc2f81e,US,"","","",38.0000,-97.0000,,,2.85714285714e-05,0.00666666666667,1.5e-05,6.05714285714e-05,9e-08,1.33333333333e-06,2e-06,6.60400390625e-05
252.215.100.147,426bd34a,US,"IL","Chicago","60612",41.8784,-87.6852,602,312,0.000542857142857,0.0633333333333,0.000145,0.000541142857143,3.597e-06,3.33333333333e-06,3.33333333333e-06,1.71995162964e-06
119.20.246.47,506da812,US,"DC","Washington","20007",38.9144,-77.0763,511,202,2.85714285714e-05,0.00333333333333,5e-06,7.31428571429e-05,6.4e-08,6.66666666667e-07,6.66666666667e-07,3.45993041992e-06
179.102.199.21,3fe0c3c1,US,"MO","Argyle","65001",38.2705,-92.0174,604,573,2.85714285714e-05,0.00333333333333,5e-06,3.88571428571e-05,3.4e-08,6.66666666667e-07,6.66666666667e-07,1.68800354004e-05
152.21.234.242,426bd34a,US,"IL","Chicago","60612",41.8784,-87.6852,602,312,2.85714285714e-05,0.00333333333333,2.5e-05,0.000117142857143,2.245e-07,3.33333333333e-06,3.33333333333e-06,9.86003875732e-06
149.44.217.186,6c591175,US,"NJ","East Rutherford","07073",40.8132,-74.0738,501,201,2.85714285714e-05,0.00333333333333,5e-06,7.25714285714e-05,6.35e-08,6.66666666667e-07,6.66666666667e-07,7.71598815918e-05
244.167.165.243,6c591175,US,"NJ","East Rutherford","07073",40.8132,-74.0738,501,201,2.85714285714e-05,0.00333333333333,5e-06,4.22857142857e-05,3.7e-08,6.66666666667e-07,6.66666666667e-07,7.39598274231e-05
78.2.18.170,61126358,US,"VA","Sterling","20166",38.9881,-77.4755,511,703,5.71428571429e-05,0.00333333333333,1e-05,0.000197142857143,2.6e-07,1.33333333333e-06,6.66666666667e-07,0.000132499694824
17.251.30.147,e57ef588,VN,"20","Ho Chi Minh City","",10.7500,106.6667,,,2.85714285714e-05,0.00333333333333,1.5e-05,5.02857142857e-05,7.2e-08,2e-06,2e-06,5.25803565979e-05
32.103.26.249,39dfc5d9,DE,"05","Frankfurt Am Main","",50.1167,8.6833,,,2.85714285714e-05,0.00333333333333,5e-06,8.85714285714e-05,7.75e-08,6.66666666667e-07,6.66666666667e-07,4.01997566223e-05
115.43.151.171,61126358,US,"VA","Sterling","20166",38.9881,-77.4755,511,703,2.85714285714e-05,0.00333333333333,5e-06,0.000184571428571,1.615e-07,6.66666666667e-07,6.66666666667e-07,5.69000244141e-05
186.48.245.128,563c1ee4,DE,"01","Stuttgart","",48.7667,9.1833,,,5.71428571429e-05,0.00333333333333,1e-05,0.000149142857143,1.705e-07,1.33333333333e-06,6.66666666667e-07,2.75402069092e-05
225.247.62.76,90c045f0,NL,"05","Root","",51.3667,6.0833,,,2.85714285714e-05,0.00333333333333,5e-06,0.000298285714286,2.61e-07,6.66666666667e-07,6.66666666667e-07,5.55400848389e-05
91.24.70.151,61126358,US,"VA","Sterling","20166",38.9881,-77.4755,511,703,2.85714285714e-05,0.00333333333333,5e-06,0.000110285714286,9.65e-08,6.66666666667e-07,6.66666666667e-07,4.79598045349e-05
148.34.149.29,51c12a4c,DE,"07","Steinfurt","",52.1500,7.3500,,,2.85714285714e-05,0.00333333333333,5e-06,0.000130857142857,1.145e-07,6.66666666667e-07,6.66666666667e-07,9.67979431152e-06
26.130.126.64,236427f8,DE,"07","Muenster","",51.9667,7.6333,,,5.71428571429e-05,0.01,2.5e-05,0.000145714285714,2.365e-07,1.33333333333e-06,2.66666666667e-06,6.05397224426e-05
8.135.58.227,00d4c979,DE,"07","Dortmund","",51.5167,7.4500,,,2.85714285714e-05,0.00333333333333,5e-06,0.000100571428571,8.8e-08,6.66666666667e-07,6.66666666667e-07,0.000116320133209
189.44.203.118,00d4c979,DE,"07","Dortmund","",51.5167,7.4500,,,2.85714285714e-05,0.00333333333333,5e-06,8.51428571429e-05,7.45e-08,6.66666666667e-07,6.66666666667e-07,0.000125020027161
233.34.50.49,51c12a4c,DE,"07","Steinfurt","",52.1500,7.3500,,,2.85714285714e-05,0.00333333333333,5e-06,0.000100571428571,8.8e-08,6.66666666667e-07,6.66666666667e-07,1.71995162964e-06
172.139.120.242,236427f8,DE,"07","Muenster","",51.9667,7.6333,,,2.85714285714e-05,0.00333333333333,4e-05,0.000113142857143,3.125e-07,5.33333333333e-06,5.33333333333e-06,0.000112920284271
211.74.89.71,94805b2c,US,"CA","Mountain View","94043",37.4192,-122.0574,807,650,0.000142857142857,0.00333333333333,0.000135,0.000328,2.851e-06,1.8e-05,6.66666666667e-06,1.24001502991e-05
44.93.92.147,18d540ab,US,"CA","Sunnyvale","94089",37.4249,-122.0074,807,408,5.71428571429e-05,0.00666666666667,3e-05,9.94285714286e-05,2.345e-07,3.33333333333e-06,3.33333333333e-06,7.34043121338e-06
34.11.10.209,426bd34a,US,"IL","Chicago","60612",41.8784,-87.6852,602,312,5.71428571429e-05,0.00666666666667,5.5e-05,0.000261714285714,1.1925e-06,4e-06,4e-06,1.42798423767e-05
220.171.119.36,18d540ab,US,"CA","Sunnyvale","94089",37.4249,-122.0074,807,408,2.85714285714e-05,0.00333333333333,3.5e-05,0.000114285714286,2.75e-07,4.66666666667e-06,4.66666666667e-06,1.22799873352e-05
114.25.146.198,7cc2f81e,US,"","","",38.0000,-97.0000,,,5.71428571429e-05,0.00333333333333,5e-05,0.000256571428571,9.01e-07,6.66666666667e-06,3.33333333333e-06,5.08599281311e-05
109.45.186.102,ac23e00c,US,"IL","Chicago","60606",41.8824,-87.6376,602,312,8.57142857143e-05,0.00666666666667,0.000405,0.002548,5.0701e-05,4.66666666667e-05,2.33333333333e-05,0.000147060394287
173.119.52.200,ccacb172,US,"NH","Manchester","03103",42.9403,-71.4435,506,603,2.85714285714e-05,0.00333333333333,5e-06,0.000132,1.155e-07,6.66666666667e-07,6.66666666667e-07,2.31981277466e-06
82.26.196.69,94805b2c,US,"CA","Mountain View","94043",37.4192,-122.0574,807,650,5.71428571429e-05,0.00333333333333,1e-05,6.34285714286e-05,7.7e-08,1.33333333333e-06,6.66666666667e-07,5.9700012207e-05
153.174.4.117,94805b2c,US,"CA","Mountain View","94043",37.4192,-122.0574,807,650,2.85714285714e-05,0.00333333333333,1.5e-05,0.000226857142857,3.825e-07,2e-06,2e-06,0.000103799819946
185.207.85.13,d030b1d6,GB,"C5","Over","",53.1833,-2.5500,,,2.85714285714e-05,0.00333333333333,5e-06,3.65714285714e-05,3.2e-08,6.66666666667e-07,6.66666666667e-07,3.46002578735e-05
186.129.34.196,d030b1d6,GB,"C5","Over","",53.1833,-2.5500,,,2.85714285714e-05,0.00333333333333,5e-06,4.57142857143e-05,4e-08,6.66666666667e-07,6.66666666667e-07,0.000153940200806
45.247.143.67,7ce25005,GB,"P9","Maidenhead","",51.5167,-0.7000,,,2.85714285714e-05,0.00333333333333,7.5e-05,0.00125142857143,7.4745e-06,1e-05,1e-05,0.00013763999939
